month,speed_band,n,cov,se,deviation,beyond_2se
2025-10,45–54,12003,0.941847871365492,0.002136132981531489,0.04184787136549195,True
2025-10,55–64,7595,0.8027649769585253,0.004565857329898224,-0.09723502304147469,True
2025-10,65–69,4015,0.852054794520548,0.005603268518990858,-0.047945205479452024,True
2025-10,≥70,4455,0.677665544332211,0.007002243577557668,-0.22233445566778898,True
2025-11,<35,10777,0.9670594785190684,0.0017192652555598326,0.06705947851906835,True
2025-11,35–44,12883,0.9433361794613055,0.0020369373368485585,0.043336179461305524,True
2025-11,45–54,10813,0.9396097290298715,0.002290783994764841,0.03960972902987148,True
2025-11,55–64,7180,0.7873259052924791,0.004829168341750019,-0.11267409470752088,True
2025-11,65–69,3736,0.8634903640256959,0.005617032907911601,-0.03650963597430412,True
2025-11,≥70,4639,0.6591937917654667,0.006959020514056092,-0.24080620823453336,True
2025-12,<35,10321,0.9618254045150664,0.0018861422990998757,0.06182540451506635,True
2025-12,35–44,12430,0.9507642799678198,0.0019406222701136102,0.050764279967819737,True
2025-12,45–54,10652,0.9338152459631994,0.0024087619421720363,0.0338152459631994,True
2025-12,55–64,6726,0.8012191495688373,0.004866138895569086,-0.09878085043116269,True
2025-12,65–69,3438,0.8472949389179756,0.006134668299827795,-0.05270506108202444,True
2025-12,≥70,3979,0.6722794672028147,0.007441145218745058,-0.2277205327971853,True
